Title,Description,Keywords,Interests
Building an FPS Game with Unity,Create a high-quality first person shooter game using the Unity game engine and the popular UFPS and Probuilder frameworksAbout This Book Learn how to use Unity in conjunction with UFPS and ProBuilder to create a high-quality game quickly Create both interior and exterior environments A step-by step guide to building a project with clear examples and inst...more,"UFPS,Create,Unity",Others
Big Data Applications: Machine Learning at Scale,"Machine learning is transforming the world around us. To become successful, you�d better know what kinds of problems can be solved with machine learning, and how they can be solved. Don�t know where to start? The answer is one button away. During this course you will: - Identify practical problems which can be solved with machine learning - Build, tune and apply linear models with Spark MLLib - Understand methods of text processing - Fit decision trees and boost them with ensemble learning - Construct your own recommender system. As a practical assignment, you will - build and apply linear models for classification and regression tasks; - learn how to work with texts; - automatically construct decision trees and improve their performance with ensemble learning; - finally, you will build your own recommender system! With these skills, you will be able to tackle many practical machine learning tasks. We provide the tools, you choose the place of application to make this world of machines more intelligent. Special thanks to: - Prof. Mikhail Roytberg, APT dept., MIPT, who was the initial reviewer of the project, the supervisor and mentor of half of the BigData team. He was the one, who helped to get this show on the road. - Oleg Sukhoroslov (PhD, Senior Researcher at IITP RAS), who has been teaching MapReduce, Hadoop and friends since 2008. Now he is leading the infrastructure team. - Oleg Ivchenko (PhD student APT dept., MIPT), Pavel Akhtyamov (MSc. student at APT dept., MIPT) and Vladimir Kuznetsov (Assistant at P.G. Demidov Yaroslavl State University), superbrains who have developed and now maintain the infrastructure used for practical assignments in this course. - Asya Roitberg, Eugene Baulin, Marina Sudarikova. These people never sleep to babysit this course day and night, to make your learning experience productive, smooth and exciting.","learning,MIPT,Machine",Machine Learning
KM3NeT sensitivity to low energy astrophysical neutrinos,"KM3NeT, a new generation of neutrino telescope, is currently being deployed
in the Mediterranean Sea. While its two sites, ORCA and ARCA, were respectively
designed for the determination of neutrino mass hierarchy and high-energy
neutrino astronomy, this contribution presents a study of the detection
potential of KM3NeT in the MeV-GeV energy range. At these low energies, the
data rate is dominated by low-energy atmospheric muons and environmental noise
due to bioluminescence and K-40 decay. The goal of this study is to
characterize the environmental noise in order to optimize the selection of
low-energy neutrino interactions and increase the sensitivity of KM3NeT to
transient astrophysical phenomena, such as close-by core-collapse Supernovae,
solar flares, and extragalactic transients. In this contribution, we will study
how using data science tools might improve the sensitivity of KM3NeT in these
low-energy neutrino searches. We will first introduce the data sets and the
different variables used to characterize KM3NeT's response to the environmental
noise. We will then compare the efficiency of various tools in identifying
different components in the environmental noise and in disentangling low-energy
neutrino interactions from the background events. We will conclude with the
implication of low-energy neutrinos for future astrophysical transient
searches.","neutrino,Sea,low-energy",Science
Dynamic Belief Fusion for Object Detection,"A novel approach for the fusion of detection scores from disparate object
detection methods is proposed. In order to effectively integrate the outputs of
multiple detectors, the level of ambiguity in each individual detection score
(called ""uncertainty"") is estimated using the precision/recall relationship of
the corresponding detector. The proposed fusion method, called Dynamic Belief
Fusion (DBF), dynamically assigns basic probabilities to propositions (target,
non-target, uncertain) based on confidence levels in the detection results of
individual approaches. A joint basic probability assignment, containing
information from all detectors, is determined using Dempster's combination
rule, and is easily reduced to a single fused detection score. Experiments on
ARL and PASCAL VOC 07 datasets demonstrate that the detection accuracy of DBF
is considerably greater than conventional fusion approaches as well as
state-of-the-art individual detectors.","detection,fusion,detectors",Science
Mastering Immutable.js,This book shows JavaScript developers how to build highly dependable JavaScript projects using the I...,"JavaScript,book,shows",Web Dev
Intermediate Relational Database and SQL,"In this 1-hour long project-based course, you will gain hands-on experience and learn how to create and maintain relational databases such as MySQL, Oracle and MS Access. Concepts covered include database and table creation, primary keys and foreign keys. If you have some experience with end-user level SQL and want to advance to a designer or database administrator role, this course is for you! Note: Taking my course ""Introduction to Relational Database and SQL"" before taking this course is highly recommended. Especially if you do not have any previous experience with relational database and SQL.","Oracle,Access,database","CS Fundamentals
"
The Linux Programming Interface: A Linux and Unix System Programming Handbook,"The Linux Programming Interface is the definitive guide to the Linux and UNIX programming interface—the interface employed by nearly every application that runs on a Linux or UNIX system.In this authoritative work, Linux programming expert Michael Kerrisk provides detailed descriptions of the system calls and library functions that you need in order to master the craft of...more","Linux,Programming,Interface","CS Fundamentals"
Programming PHP,"Programming PHP, 2nd Edition, is the authoritative guide to PHP 5 and is filled with the unique knowledge of the creator of PHP (Rasmus Lerdorf) and other PHP experts. When it comes to creating websites, the PHP scripting language is truly a red-hot property. In fact, PHP is currently used on more than 19 million websites, surpassing Microsoft's ASP .NET technology in popu ...more","PHP,Edition,Rasmus","Web Dev"
Egocentric Object Manipulation Graphs,"We introduce Egocentric Object Manipulation Graphs (Ego-OMG) - a novel
representation for activity modeling and anticipation of near future actions
integrating three components: 1) semantic temporal structure of activities, 2)
short-term dynamics, and 3) representations for appearance. Semantic temporal
structure is modeled through a graph, embedded through a Graph Convolutional
Network, whose states model characteristics of and relations between hands and
objects. These state representations derive from all three levels of
abstraction, and span segments delimited by the making and breaking of
hand-object contact. Short-term dynamics are modeled in two ways: A) through 3D
convolutions, and B) through anticipating the spatiotemporal end points of hand
trajectories, where hands come into contact with objects. Appearance is modeled
through deep spatiotemporal features produced through existing methods. We note
that in Ego-OMG it is simple to swap these appearance features, and thus
Ego-OMG is complementary to most existing action anticipation methods. We
evaluate Ego-OMG on the EPIC Kitchens Action Anticipation Challenge. The
consistency of the egocentric perspective of EPIC Kitchens allows for the
utilization of the hand-centric cues upon which Ego-OMG relies. We demonstrate
state-of-the-art performance, outranking all other previous published methods
by large margins and ranking first on the unseen test set and second on the
seen test set of the EPIC Kitchens Action Anticipation Challenge. We attribute
the success of Ego-OMG to the modeling of semantic structure captured over long
timespans. We evaluate the design choices made through several ablation
studies. Code will be released upon acceptance","graph,Manipulation,anticipation",Artificial Intelligence
Big Data Analytics with R and Hadoop,"If you’re an R developer looking to harness the power of big data analytics with Hadoop, then this b...","Hadoop,’re,developer","CS Fundamentals"
Zero-Assignment Constraint for Graph Matching with Outliers,"Graph matching (GM), as a longstanding problem in computer vision and pattern
recognition, still suffers from numerous cluttered outliers in practical
applications. To address this issue, we present the zero-assignment constraint
(ZAC) for approaching the graph matching problem in the presence of outliers.
The underlying idea is to suppress the matchings of outliers by assigning
zero-valued vectors to the potential outliers in the obtained optimal
correspondence matrix. We provide elaborate theoretical analysis to the
problem, i.e., GM with ZAC, and figure out that the GM problem with and without
outliers are intrinsically different, which enables us to put forward a
sufficient condition to construct valid and reasonable objective function.
Consequently, we design an efficient outlier-robust algorithm to significantly
reduce the incorrect or redundant matchings caused by numerous outliers.
Extensive experiments demonstrate that our method can achieve the
state-of-the-art performance in terms of accuracy and efficiency, especially in
the presence of numerous outliers.","outliers,problem,ZAC",Artificial Intelligence
Learning jQuery: Better Interaction Design and Web Development with Simple JavaScript Techniques,Better Interaction Design and Web Development with Simple JavaScript Techniques,"Techniques,Interaction,Design",Web Dev
Numerical Recipes: The Art of Scientific Computing,"Co-authored by four leading scientists from academia and industry, Numerical Recipes Third Edition starts with basic mathematics and computer science and proceeds to complete, working routines. Widely recognized as the most comprehensive, accessible and practical basis for scientific computing, this new edition incorporates more than 400 Numerical Recipes routines, many of...more","Numerical,Recipes,routines","CS Fundamentals
"
Geometric Algebra for Computer Science: An Object-Oriented Approach to Geometry,"Until recently, almost all of the interactions between objects in virtual 3D worlds have been based on calculations performed using linear algebra. Linear algebra relies heavily on coordinates, however, which can make many geometric programming tasks very specific and complex-often a lot of effort is required to bring about even modest performance enhancements. Although li...more","recently,virtual,worlds","DSA"
"Natural Attenuation of Groundwater Contaminants: New Paradigms, Technologies, and Applications","Cleaning up the large number of groundwater contamination sites is a significant and complex environmental challenge. The environmental industry is continuously looking for remediation methods that are both effective and cost-efficient. Over the past 10 years there have been amazing, important developments in our understanding of key attenuation processes and technologies for evaluating natural attenuation processes, and a changing institutional perspective on when and where Monitored Natural Attenuation (MNA) may be applied. Despite these advances, restoring groundwater contaminated by anthropogenic sources to allow for unrestricted use continues to be a challenge. Because of a complex mix of physical, chemical, and biological constraints associated with active in-situ cleanup technologies, there has been a long standing focus on understanding natural processes that attenuate groundwater contaminant plumes. We will build upon basic environmental science and environmental engineering principles to discover how to best implement MNA as a viable treatment for groundwater contamination plumes. Additionally we will delve into the history behind and make predictions about the new directions for this technology. Any professional working in the environmental remediation industry will benefit from this in-depth study of MNA. We will use lectures, readings, and computational exercises to enhance our understanding and implementation of MNA. At the completion of this course, students will have updated understanding and practical tools that can be applied to all possible MNA sites.","MNA,environmental,attenuation",Technology
React 17 Design Patterns and Best Practices - Third Edition,"Build modular React web apps that are scalable, maintainable, and powerful using design patterns and...","maintainable,React,Build",App Dev
The Hidden Connections: A Science for Sustainable Living,"Fritjof Capra, bestselling author of The Tao of Physics and The Web of Life, here explores another frontier in the human significance of scientific ideas—applying complexity theory to large-scale social interaction.In the 1980s, complexity theory emerged as a powerful alternative to classic, linear thought. A forerunner of that revolution, Fritjof Capra now continues to e...more","Fritjof,Life,complexity",Ethics
Evidence-based Toxicology,"Welcome to the Evidence-based Toxicology (EBT) course. In medicine and healthcare, evidence-based medicine has revolutionized the way that information is evaluated transparently and objectively. Over the past ten years, a movement in North America and Europe has attempted to translate this revolution to the field of toxicology. The Center for Alternatives to Animal Testing (CAAT) within the department of Environmental Health and Engineering at the Johns Hopkins Bloomberg School of Public Health hosts the first chair for EBT and the secretariat for the EBT Collaboration on both sides of the Atlantic. Based on the Cochrane Collaboration in Evidence-based Medicine, the EBT Collaboration was established at the CAAT to foster the development of a process for quality assurance of new toxicity tests for the assessment of safety in humans and the environment. Regulatory safety sciences have undergone remarkably little change in the past fifty years. At the same time, our knowledge in the life sciences is doubling about every seven years. Systematic review and related evidence-based approaches are beginning to be adapted by regulatory agencies like the Environment Protection Agency (EPA), the European Food Safety Authority (EFSA), and the US National Toxicology Program. They provide transparent, objective, and consistent tools to identify, select, appraise, and extract evidence across studies. This course will showcase these emerging efforts and address opportunities and challenges to the expanded use of these tools within toxicology.","EBT,Evidence-based,Toxicology",Science
Cryptography,"This course will introduce you to the foundations of modern cryptography, with an eye toward practical applications.","cryptography,applications,introduce",Cryptography
Environmental Management & Ethics,"Decision-makers often turn to scientists and engineers to assist them to navigate through complex environmental, health and societal challenges pervaded by systemic uncertainty, ambiguity and ethical implications. This course prepares you to meet the requests and demands of current and future decision-makers and in this course, you will analyze ethical challenges associated with environmental dilemmas and apply different decision making tools relevant to environmental management and regulation.","environmental,Decision-makers,challenges",Ethics
PhoneGap: Beginner's Guide - Third Edition,"Create, develop, debug, and deploy your very own mobile applications with PhoneGap","Create,develop,debug",App Dev
Attentive and Contrastive Learning for Joint Depth and Motion Field Estimation,"Estimating the motion of the camera together with the 3D structure of the
scene from a monocular vision system is a complex task that often relies on the
so-called scene rigidity assumption. When observing a dynamic environment, this
assumption is violated which leads to an ambiguity between the ego-motion of
the camera and the motion of the objects. To solve this problem, we present a
self-supervised learning framework for 3D object motion field estimation from
monocular videos. Our contributions are two-fold. First, we propose a two-stage
projection pipeline to explicitly disentangle the camera ego-motion and the
object motions with dynamics attention module, called DAM. Specifically, we
design an integrated motion model that estimates the motion of the camera and
object in the first and second warping stages, respectively, controlled by the
attention module through a shared motion encoder. Second, we propose an object
motion field estimation through contrastive sample consensus, called CSAC,
taking advantage of weak semantic prior (bounding box from an object detector)
and geometric constraints (each object respects the rigid body motion model).
Experiments on KITTI, Cityscapes, and Waymo Open Dataset demonstrate the
relevance of our approach and show that our method outperforms state-of-the-art
algorithms for the tasks of self-supervised monocular depth estimation, object
motion segmentation, monocular scene flow estimation, and visual odometry.","motion,object,camera",Technology
The design of quaternary eutectic solder by machine learning,"In this paper, we obtain a Sn-Bi-In-Pb quaternary near eutectic alloy
composition from machine learning model. The eutectic points and the alloy
composition were evaluated and continuously improved by experimental input. The
actual composition is near the result given by machine learning. We conclude
that the application of machine learning in solder design has shown the
potential to overcome the challenge in searching for the next generation
eutectic solders, which will have a broad impact on the industry.","composition,eutectic,machine",Machine Learning
Backpropagating through Fréchet Inception Distance,"The Fr\'echet Inception Distance (FID) has been used to evaluate hundreds of
generative models. We introduce FastFID, which can efficiently train generative
models with FID as a loss function. Using FID as an additional loss for
Generative Adversarial Networks improves their FID.","FID,Distance,Inception",Deep Learning
Semantic-aware Knowledge Distillation for Few-Shot Class-Incremental Learning,"Few-shot class incremental learning (FSCIL) portrays the problem of learning
new concepts gradually, where only a few examples per concept are available to
the learner. Due to the limited number of examples for training, the techniques
developed for standard incremental learning cannot be applied verbatim to
FSCIL. In this work, we introduce a distillation algorithm to address the
problem of FSCIL and propose to make use of semantic information during
training. To this end, we make use of word embeddings as semantic information
which is cheap to obtain and which facilitate the distillation process.
Furthermore, we propose a method based on an attention mechanism on multiple
parallel embeddings of visual data to align visual and semantic vectors, which
reduces issues related to catastrophic forgetting. Via experiments on
MiniImageNet, CUB200, and CIFAR100 dataset, we establish new state-of-the-art
results by outperforming existing approaches.","learning,FSCIL,incremental",Deep Learning
Transformer in Transformer,"Transformer is a new kind of neural architecture which encodes the input data
as powerful features via the attention mechanism. Basically, the visual
transformers first divide the input images into several local patches and then
calculate both representations and their relationship. Since natural images are
of high complexity with abundant detail and color information, the granularity
of the patch dividing is not fine enough for excavating features of objects in
different scales and locations. In this paper, we point out that the attention
inside these local patches are also essential for building visual transformers
with high performance and we explore a new architecture, namely, Transformer iN
Transformer (TNT). Specifically, we regard the local patches (e.g.,
16$\times$16) as ""visual sentences"" and present to further divide them into
smaller patches (e.g., 4$\times$4) as ""visual words"". The attention of each
word will be calculated with other words in the given visual sentence with
negligible computational costs. Features of both words and sentences will be
aggregated to enhance the representation ability. Experiments on several
benchmarks demonstrate the effectiveness of the proposed TNT architecture,
e.g., we achieve an $81.5%$ top-1 accuracy on the ImageNet, which is about
$1.7%$ higher than that of the state-of-the-art visual transformer with similar
computational cost. The PyTorch code is available at
https://github.com/huawei-noah/CV-Backbones/tree/master/tnt_pytorch, and the
MindSpore code is at
https://gitee.com/mindspore/mindspore/tree/master/model_zoo/research/cv/TNT.","visual,Transformer,patches",Deep Learning
Leveraging Mentions and Threads in Slack,"By the end of this project, you will learn how to optimize organizational communications with Slack, a business communications platform. You will use your Slack workspace to reduce noise and interference to effective communication, while organizing discussions and boosting your team�s productivity. To do this, you will work in the Slack app on your Rhyme virtual machine, and use your current Slack workspace or set up a sample workspace under Slack�s free plan so that you can gain hands-on experience notifying members that something needs their attention by using mentions. You will then learn how to view messages in which you were mentioned. When viewing your mentions, you will filter, organize, prioritize, create shortcuts, set reminders, pin, share, and respond to them. You will then apply the skills you gained handling mentions to communicating in threads. To do this, you will learn how to create threads and use them in conjunction with mentions to work asynchronously with your team by tying your feedback to specific messages or files, organizing conversations and flagging meaningful items, and encouraging open discussion without distracting others by posting in a channel�s regular announcements. Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.","Slack,mentions,workspace",Business
Future Development in Supply Chain Finance and Blockchain Technology,"This course focuses on future developments in Supply Chain Finance such as Artificial Intelligence (AI) and Application Programming Interfaces (APIs). This course covers the basic concepts of Distributed Ledger Technology (DLT), the key features as well as the benefits the solution represents for Supply Chain Finance. This course concludes with an understanding of the applicability of Blockchain Technologies and how they impact Supply Chain Finance.","Chain,Supply,Finance",Business
"Agile Software Development, Principles, Patterns, and Practices","Written by a software developer for software developers, this book is a unique collection of the latest software development methods. The author incudes OOD, UML, Design Patterns, Agile and XP methods with a detailed description of a complete software design for reusable programs in C++ and Java. Using a practical, problem-solving approach, it shows how to develop an obje ...more","software,Written,developer",DSA
REST in Practice: Hypermedia and Systems Architecture,"Why don't typical enterprise projects go as smoothly as projects you develop for the Web? Does the REST architectural style really present a viable alternative for building distributed systems and enterprise-class applications?In this insightful book, three SOA experts provide a down-to-earth explanation of REST and demonstrate how you can develop simple and elegant distri...more","Web,projects,REST",Web Dev
The SpinParser software for pseudofermion functional renormalization group calculations on quantum magnets,"We present the SpinParser open-source software [
https://github.com/fbuessen/SpinParser ]. The software is designed to perform
pseudofermion functional renormalization group (pf-FRG) calculations for
frustrated quantum magnets in two and three spatial dimensions. It aims to make
such calculations readily accessible without the need to write specialized
program code; instead, custom lattice graphs and microscopic spin models can be
defined as plain-text input files. Underlying symmetries of the model are
automatically analyzed and exploited by the numerical core written in C++ in
order to optimize the performance across large-scale shared memory and/or
distributed memory computing platforms.","software,present,SpinParser",CS Fundamentals
Web Connectivity and Security in Embedded Systems,"Welcome to Web Connectivity and Security in Cyber Physical Systems! In this course, we will explore several technologies that bring modern devices together, facilitating a network of connected things and making devices internet enabled. We will discuss rules, protocols, and standards for these devices to communicate with each other in the network. We will also go through security and privacy issues and challenges in cyber physical systems (CPS). We will explore measures and techniques for securing systems from different perspectives. Possible attack models are introduced and solutions to tackle such attacks are discussed. Moreover, some basic concepts related to privacy in cyber physical systems are presented. The course comprises altogether five modules and is split up into two main sections. The first section contains three modules and centers on the problem of web connectivity in cyber physical systems. The second section consist of two modules focusing on security measures in such systems. Each module ends with a graded quiz, and there is a final peer reviewed exam at the end of the course covering the two main sections of the course. After completing this course, you will have the basic knowledge and capacity for designing the network architecture of your cyber physical system. This includes putting together different components, selecting suitable communication protocols, and utilizing these protocols in your system. You will also be able to define security requirements for your system and choose and implement a proper security and privacy technique to protect it.","Physical,Cyber,Systems",Technology
Background Learnable Cascade for Zero-Shot Object Detection,"Zero-shot detection (ZSD) is crucial to large-scale object detection with the
aim of simultaneously localizing and recognizing unseen objects. There remain
several challenges for ZSD, including reducing the ambiguity between background
and unseen objects as well as improving the alignment between visual and
semantic concept. In this work, we propose a novel framework named Background
Learnable Cascade (BLC) to improve ZSD performance. The major contributions for
BLC are as follows: (i) we propose a multi-stage cascade structure named
Cascade Semantic R-CNN to progressively refine the alignment between visual and
semantic of ZSD; (ii) we develop the semantic information flow structure and
directly add it between each stage in Cascade Semantic RCNN to further improve
the semantic feature learning; (iii) we propose the background learnable region
proposal network (BLRPN) to learn an appropriate word vector for background
class and use this learned vector in Cascade Semantic R CNN, this design makes
\Background Learnable"" and reduces the confusion between background and unseen
classes. Our extensive experiments show BLC obtains significantly performance
improvements for MS-COCO over state-of-the-art methods.","semantic,background,ZSD",Deep Learning
QGIS Python Programming Cookbook,Over 140 recipes to help you turn QGIS from a desktop GIS tool into a powerful automated geospatial ...,"QGIS,GIS,recipes",Artificial Intelligence
iOS 14 Programming for Beginners - Fifth Edition,Learn iOS app development and work with the latest Apple development tools,"Apple,Learn,tools",App Dev
"A First Course in Logic: An Introduction to Model Theory, Proof Theory, Computability, and Complexity","The ability to reason and think in a logical manner forms the basis of learning for most mathematics, computer science, philosophy and logic students. Based on the author's teaching notes at the University of Maryland and aimed at a broad audience, this text covers the fundamental topics in classical logic in an extremely clear, thorough and accurate style that is accessib...more","mathematics,computer,science",CS Fundamentals
Truncated Emphatic Temporal Difference Methods for Prediction and Control,"Emphatic Temporal Difference (TD) methods are a class of off-policy
Reinforcement Learning (RL) methods involving the use of followon traces.
Despite the theoretical success of emphatic TD methods in addressing the
notorious deadly triad (Sutton and Barto, 2018) of off-policy RL, there are
still three open problems. First, the motivation for emphatic TD methods
proposed by Sutton et al. (2016) does not align with the convergence analysis
of Yu (2015). Namely, a quantity used by Sutton et al. (2016) that is expected
to be essential for the convergence of emphatic TD methods is not used in the
actual convergence analysis of Yu (2015). Second, followon traces typically
suffer from large variance, making them hard to use in practice. Third, despite
the seminal work of Yu (2015) confirming the asymptotic convergence of some
emphatic TD methods for prediction problems, there is still no finite sample
analysis for any emphatic TD method for prediction, much less control. In this
paper, we address those three open problems simultaneously via using truncated
followon traces in emphatic TD methods. Unlike the original followon traces,
which depend on all previous history, truncated followon traces depend on only
finite history, reducing variance and enabling the finite sample analysis of
our proposed emphatic TD methods for both prediction and control.","methods,Emphatic,Difference",Artificial Intelligence
